Team,AdjO,AdjD,AdjT,Overall_SOS,HCA
Alabama,127.888,103.145,73.257,15.8992,3.5
American,104.852,110.594,67.3828,-6.1717,2.2
Appalachian St.,105.722,107.113,62.4625,-4.5253,2.7
Arizona St.,118.136,107.417,69.5657,11.9863,3.1
Arkansas Pine Bluff,103.564,117.082,69.803,1.9458,2
Arkansas St.,110.63,111.524,71.423,-1.1728,2.6
Army,103.219,120.205,66.3234,-7.0734,2
Austin Peay,105.885,106.137,69.2794,-4.7969,2.6
BYU,125.972,99.8993,69.9677,8.9458,4.1
Baylor,121.588,106.125,68.1591,10.6523,3.6
Bucknell,100.557,115.353,66.1771,-4.8058,2.8
Butler,117.857,106.308,69.0679,7.5187,3
California,115.437,101.976,66.6064,5.1011,3.3
Central Arkansas,108.475,110.51,68.0289,-4.0292,2.8
Charleston Southern,104.812,110.906,71.5081,-5.922,2
Charlotte,114.252,114.43,62.8793,-1.5793,3.4
Clemson,117.292,96.3987,64.1587,6.1518,3.4
Cleveland St.,110.641,123.212,68.8617,-1.2086,3.2
Coastal Carolina,103.659,109.571,67.0661,-4.3155,3
Colgate,109.494,113.368,66.3622,-4.5399,2.2
Colorado,120.141,108.527,68.6127,6.3969,3.9
Creighton,118.719,107.308,66.1441,9.5011,3.4
Delaware,102.261,113.475,62.7772,-3.8211,2.4
Detroit Mercy,107.547,116.259,68.9856,-2.3136,2.9
Duquesne,111.731,107.507,70.2774,-0.142,2.8
East Tennessee St.,112.612,109.132,65.808,-7.8803,2.6
East Texas A&M,99.7697,111.248,69.1289,0.2034,2.3
FIU,107.944,110.39,72.4474,-0.6207,3.2
Florida Atlantic,112.964,107.153,70.194,2.7472,3.1
Furman,108.526,109.657,66.3038,-5.7854,2.7
Gardner Webb,96.1741,123.482,69.5797,1.1479,2
George Mason,115.392,104.4,64.4561,-2.3555,3.2
George Washington,118.857,108.579,69.7895,-0.5413,2.9
Georgetown,115.275,105.766,65.3427,6.8537,2.7
Georgia Southern,108.034,116.582,70.2999,-7.5842,2.6
Georgia St.,102.038,111.389,67.6425,-1.549,3
Georgia Tech,108.209,105.387,70.3511,1.1251,2.7
Gonzaga,123.203,94.1215,69.6607,4.4456,2.9
Grambling St.,102.473,110.839,66.701,-4.8757,2.2
Green Bay,112.198,118.596,62.9072,-1.147,2.7
High Point,119.257,111.696,68.9183,-8.5428,2.8
Houston,125.973,94.5921,63.3765,7.5011,3.2
Illinois,131.163,99.0362,65.6245,10.7343,3.1
Iowa,122.356,97.3046,63.5348,5.0345,3.5
James Madison,110.528,115.252,65.4801,-2.4366,2.8
Kansas City,95.6859,116.37,69.0716,0.0092,2.9
Kentucky,120.681,99.3841,67.3041,11.5558,3.5
Lafayette,102.365,115.737,66.9114,-5.4209,2
Lehigh,101.116,113.188,66.9626,-6.9689,1.9
Liberty,119.077,109.625,63.3877,-1.1496,2.9
Lipscomb,109.778,109.615,69.7189,-4.3945,2.4
Longwood,103.134,113.257,67.6134,-7.35,2.3
Louisiana,98.8642,112.977,62.0819,-5.143,2.4
Louisiana Monroe,98.5688,120.562,70.5506,-4.3906,2.5
Louisiana Tech,102.036,108.258,62.9587,-4.0934,3.2
Louisville,124.91,99.663,69.9287,9.5624,3.2
Loyola MD,104.235,119.261,68.1383,-8.3582,1.7
Loyola Marymount,104.61,105.214,67.5343,0.8036,2.6
