Team,AdjO,AdjD,AdjT,HCA
Alabama,129.384,102.296,73.1026,3.5
American,105.085,109.791,67.338,2.2
Appalachian St.,104.773,105.52,62.371,2.7
Arizona St.,118.096,107.106,69.5395,3.1
Arkansas Pine Bluff,105.132,115.012,70.4264,2
Arkansas St.,110.26,110.929,71.6472,2.6
Army,103.51,120.566,66.4863,2
Austin Peay,106.057,104.921,69.2085,2.6
BYU,124.19,101.054,70.0256,4.1
Baylor,120.004,106.75,68.2423,3.6
Bucknell,99.5659,114.089,66.4576,2.8
Butler,117.72,105.686,69.2785,3
California,113.773,101.039,66.6728,3.3
Central Arkansas,108.472,108.649,68.0372,2.8
Charleston Southern,103.638,110.451,71.5785,2
Charlotte,114.362,113.201,62.8986,3.4
Clemson,116.523,94.0966,64.3623,3.4
Cleveland St.,111.544,121.838,68.8906,3.2
Coastal Carolina,103.079,108.88,67.2154,3
Colgate,109.065,113.683,66.4663,2.2
Colorado,118.735,109.02,68.4883,3.9
Creighton,118.042,106.754,65.9649,3.4
Delaware,101.636,112.283,62.7457,2.4
Detroit Mercy,109.363,114.43,69.1786,2.9
Duquesne,111.688,106.777,70.4855,2.8
East Tennessee St.,110.275,109.153,65.7765,2.6
East Texas A&M,99.1706,110.127,69.2095,2.3
FIU,108.496,108.658,72.4096,3.2
Florida Atlantic,112.575,105.631,70.3256,3.1
Furman,107.211,108.559,66.2699,2.7
Gardner Webb,94.2211,123.934,70.0833,2
George Mason,112.592,105.768,64.5411,3.2
George Washington,117.963,107.356,70.0744,2.9
Georgetown,114.51,105.257,65.576,2.7
Georgia Southern,107.585,116.208,70.3995,2.6
Georgia St.,101.292,110.749,67.786,3
Georgia Tech,107.963,105.252,70.4927,2.7
Gonzaga,121.695,94.2418,69.9201,2.9
Grambling St.,102.248,109.002,66.8759,2.2
Green Bay,112.981,116.815,62.8929,2.7
High Point,117.946,110.648,69.0815,2.8
Houston,127.732,93.8768,63.5268,3.2
Illinois,131.859,99.1054,65.7706,3.1
Iowa,122.178,96.6981,63.5037,3.5
James Madison,109.537,114.991,65.4948,2.8
Kansas City,95.8029,116.45,68.8691,2.9
Kentucky,118.324,100.794,67.5482,3.5
Lafayette,102.0,115.457,66.9109,2
Lehigh,100.544,112.477,66.9977,1.9
Liberty,118.493,108.673,63.3903,2.9
Lipscomb,108.075,110.415,69.6605,2.4
Longwood,102.507,112.403,67.6693,2.3
Louisiana,99.3968,111.136,62.341,2.4
Louisiana Monroe,98.1943,120.256,70.685,2.5
Louisiana Tech,100.574,108.872,62.6836,3.2
Louisville,124.625,98.3656,69.9559,3.2
Loyola MD,103.325,120.825,68.0543,1.7
Loyola Marymount,103.504,104.758,67.6366,2.6
Marshall,109.852,109.838,69.0305,3.2
Maryland Eastern Shore,95.7383,113.84,63.0457,3.1
Michigan St.,119.015,91.6545,65.5006,3.2
Middle Tennessee,107.982,105.385,64.5447,3.8
Milwaukee,106.089,114.082,68.0817,3.3
Minnesota,112.983,100.516,63.2294,3
Navy,103.249,105.953,65.2856,2
New Mexico,116.525,98.8323,69.9085,4.4
New Mexico St.,110.81,111.981,65.6408,3.4
North Alabama,100.242,119.245,65.4923,2.7
North Texas,100.049,100.271,64.5334,3.3
Northern Kentucky,108.251,110.083,69.7046,3.1
Northwestern,117.824,105.227,65.8152,2.7
